field_id,question_text
C17_table1__Total__Approximate,"Farm, Fishery, and Enterprise Profile > Output Disposition > During the most recent completed production cycle, approximately what percentage of output was: > Total > Approximate %"
C17_2,"Farm, Fishery, and Enterprise Profile > Output Disposition > Output Disposition"
C18_1,"Farm, Fishery, and Enterprise Profile > Production / Post-Harvest Losses > Did you experience production or post-harvest losses during the reference period?"
C18_2,"Farm, Fishery, and Enterprise Profile > Production / Post-Harvest Losses > Approximate proportion lost (%)"
C18_3,"Farm, Fishery, and Enterprise Profile > Production / Post-Harvest Losses > Main reason"
C19_1,"Farm, Fishery, and Enterprise Profile > Main Buyers / Market Outlets > Select all that apply."
C20_1,"Farm, Fishery, and Enterprise Profile > Value-Chain Participation > At which stages are you or the organization involved?"
C21_1,"Farm, Fishery, and Enterprise Profile > Major Shocks > During the past 12 months, did you or the enterprise experience any of the following?"
C21_2,"Farm, Fishery, and Enterprise Profile > Major Shocks > Which shock had the greatest effect?"
C21_3,"Farm, Fishery, and Enterprise Profile > Major Shocks > Main effect of the most significant shock"
C22_1,"Farm, Fishery, and Enterprise Profile > Selected Risk-Management Practices > Do you currently use any of the following?"
C23_1,"Farm, Fishery, and Enterprise Profile > Agricultural / Enterprise Insurance > Do you currently have insurance covering the farm, fishery, livestock, poultry, equipment, or enterprise?"
C23_2,"Farm, Fishery, and Enterprise Profile > Agricultural / Enterprise Insurance > Type — select all that apply"
C23_3,"Farm, Fishery, and Enterprise Profile > Agricultural / Enterprise Insurance > Provider — select all that apply"
C23_4,"Farm, Fishery, and Enterprise Profile > Agricultural / Enterprise Insurance > Have you ever filed a claim?"
C23_5,"Farm, Fishery, and Enterprise Profile > Agricultural / Enterprise Insurance > Agricultural / Enterprise Insurance"
D1_1,AGRISENSO Plus Awareness and Access Experience > Source of Program Information > How did you first learn about AGRISENSO Plus?
D2_likert1,AGRISENSO Plus Awareness and Access Experience > Understanding of AGRISENSO Plus > How confident are you that you understand how AGRISENSO Plus works?
D3_table1__Eligibility_requirements,"AGRISENSO Plus Awareness and Access Experience > Awareness of Program Features > Before entering into the loan agreement, were you aware of the following? > Eligibility requirements"
D3_table1__Eligible_activities,"AGRISENSO Plus Awareness and Access Experience > Awareness of Program Features > Before entering into the loan agreement, were you aware of the following? > Eligible activities"
D3_table1__Applicable_loan_amount_ceiling,"AGRISENSO Plus Awareness and Access Experience > Awareness of Program Features > Before entering into the loan agreement, were you aware of the following? > Applicable loan amount / ceiling"
D3_table1__Interest_rate_financing_cost,"AGRISENSO Plus Awareness and Access Experience > Awareness of Program Features > Before entering into the loan agreement, were you aware of the following? > Interest rate / financing cost"
D3_table1__Loan_term,"AGRISENSO Plus Awareness and Access Experience > Awareness of Program Features > Before entering into the loan agreement, were you aware of the following? > Loan term"
D3_table1__Grace_period_where_applicable,"AGRISENSO Plus Awareness and Access Experience > Awareness of Program Features > Before entering into the loan agreement, were you aware of the following? > Grace period, where applicable"
D3_table1__Documentary_requirements,"AGRISENSO Plus Awareness and Access Experience > Awareness of Program Features > Before entering into the loan agreement, were you aware of the following? > Documentary requirements"
D3_table1__Repayment_requirements,"AGRISENSO Plus Awareness and Access Experience > Awareness of Program Features > Before entering into the loan agreement, were you aware of the following? > Repayment requirements"
D3_table1__Where_how_to_apply,"AGRISENSO Plus Awareness and Access Experience > Awareness of Program Features > Before entering into the loan agreement, were you aware of the following? > Where/how to apply"
D4_1,AGRISENSO Plus Awareness and Access Experience > Clarity of Program Information > How clear was the information provided before you applied?
D4_2,AGRISENSO Plus Awareness and Access Experience > Clarity of Program Information > What was most difficult to understand?
D5_1,"AGRISENSO Plus Awareness and Access Experience > Difficulties During Application > Which difficulties, if any, did you encounter?"
D6_1,AGRISENSO Plus Awareness and Access Experience > Most Significant Difficulty > Which was the most significant difficulty?
D7_1,AGRISENSO Plus Awareness and Access Experience > Assistance During Application > Did you receive assistance in completing the application?
D7_2,AGRISENSO Plus Awareness and Access Experience > Assistance During Application > From whom?
D7_3,AGRISENSO Plus Awareness and Access Experience > Assistance During Application > What type of assistance was provided?
D8_1,"AGRISENSO Plus Awareness and Access Experience > Overall Ease of Access > Overall, how easy or difficult was it to access AGRISENSO Plus financing?"
E_intro_1,AGRISENSO Plus Loan Agreement Profile > AGRISENSO Plus Loan Agreement Profile > Reference: Most recent/current AGRISENSO Plus loan agreement.
E1_1,AGRISENSO Plus Loan Agreement Profile > LANDBANK Lending Center > Name
E2_1,AGRISENSO Plus Loan Agreement Profile > Application / Agreement / Release Dates > Application month/year
E2_2,AGRISENSO Plus Loan Agreement Profile > Application / Agreement / Release Dates > Loan agreement / approval month/year
E2_3,AGRISENSO Plus Loan Agreement Profile > Application / Agreement / Release Dates > Loan release month/year
E2_4,AGRISENSO Plus Loan Agreement Profile > Application / Agreement / Release Dates > Application / Agreement / Release Dates
E3_1,AGRISENSO Plus Loan Agreement Profile > Processing Time > Approximately how long was it from submission of a substantially complete application to loan release?
E4_1,AGRISENSO Plus Loan Agreement Profile > Loan Amount > Amount Applied For: PHP
