field_id,question_text
F3_likert1,Financial Knowledge and Capability > Preparing a Budget > Confidence in preparing a simple farm/enterprise budget:
F4_likert1,"Financial Knowledge and Capability > Understanding Cost of Borrowing > Confidence in understanding how interest, duration, and charges affect repayment:"
F5_likert1,Financial Knowledge and Capability > Assessing Repayment Capacity > Confidence in assessing whether expected income can meet repayments:
F6_likert1,Financial Knowledge and Capability > Repayment Planning > Confidence in planning repayment against expected income/production cycles:
F7_1,Financial Knowledge and Capability > Separation of Household and Enterprise Finances > Separation of Household and Enterprise Finances
F8_1,Financial Knowledge and Capability > Budgeting Practice > Budgeting Practice
F9_1,Financial Knowledge and Capability > Record-Keeping Practice > Record-Keeping Practice
F10_1,"Financial Knowledge and Capability > Repayment Planning Practice > Ask respondents with borrowing experience. Before borrowing, do you normally identify where repayment funds will come from and when they will be available?"
F11_1,Financial Knowledge and Capability > Savings / Financial Buffer > Savings / Financial Buffer
F11_2,Financial Knowledge and Capability > Savings / Financial Buffer > Savings are set aside mainly for:
F12_table1__Mobile_banking,"Financial Knowledge and Capability > Digital Financial Services > During the past 12 months, have you used: > Mobile banking"
F12_table1__Digital_wallet,"Financial Knowledge and Capability > Digital Financial Services > During the past 12 months, have you used: > Digital wallet"
F12_table1__Digital_payment_to_supplier_wo,"Financial Knowledge and Capability > Digital Financial Services > During the past 12 months, have you used: > Digital payment to supplier/worker"
F12_table1__Digital_receipt_of_payment,"Financial Knowledge and Capability > Digital Financial Services > During the past 12 months, have you used: > Digital receipt of payment"
F12_table1__Online_bank_transfer,"Financial Knowledge and Capability > Digital Financial Services > During the past 12 months, have you used: > Online bank transfer"
F12_table1__Online_digital_loan_applicatio,"Financial Knowledge and Capability > Digital Financial Services > During the past 12 months, have you used: > Online/digital loan application"
F12_2,Financial Knowledge and Capability > Digital Financial Services > Difficulties experienced with digital financial services
F13_1,Financial Knowledge and Capability > Training / Advisory Support > During the past 12 months:
F14_1,Financial Knowledge and Capability > Training Provider > Training Provider
F15_1,Financial Knowledge and Capability > Usefulness of Training > Usefulness of Training
F15_2,Financial Knowledge and Capability > Usefulness of Training > Have you applied what you learned?
F16_table1__Whether_to_apply_for_financing,Financial Knowledge and Capability > Financing and Enterprise Decision-Making > Financing and Enterprise Decision-Making > Whether to apply for financing
F16_table1__How_borrowed_funds_would_be_us,Financial Knowledge and Capability > Financing and Enterprise Decision-Making > Financing and Enterprise Decision-Making > How borrowed funds would be used
F16_table1__Major_investments,Financial Knowledge and Capability > Financing and Enterprise Decision-Making > Financing and Enterprise Decision-Making > Major investments
F16_table1__Marketing_buyer_decisions,Financial Knowledge and Capability > Financing and Enterprise Decision-Making > Financing and Enterprise Decision-Making > Marketing/buyer decisions
F16_table1__Major_expenditures,Financial Knowledge and Capability > Financing and Enterprise Decision-Making > Financing and Enterprise Decision-Making > Major expenditures
F16_table2__Applying_for_financing,Financial Knowledge and Capability > Financing and Enterprise Decision-Making > Financing and Enterprise Decision-Making > Applying for financing
F16_table2__Use_of_borrowed_funds,Financial Knowledge and Capability > Financing and Enterprise Decision-Making > Financing and Enterprise Decision-Making > Use of borrowed funds
F16_table2__Major_investments,Financial Knowledge and Capability > Financing and Enterprise Decision-Making > Financing and Enterprise Decision-Making > Major investments
F16_table2__Marketing_buyer_decisions,Financial Knowledge and Capability > Financing and Enterprise Decision-Making > Financing and Enterprise Decision-Making > Marketing/buyer decisions
F16_table2__Major_expenditures,Financial Knowledge and Capability > Financing and Enterprise Decision-Making > Financing and Enterprise Decision-Making > Major expenditures
F17_likert1,Financial Knowledge and Capability > Overall Financial-Management Confidence > Overall Financial-Management Confidence
